timestamp,pnl,pos_asml,pos_dual,fills,takes,lots
1784281969.2662704,651703.1699999993,-28,38,1020,179,20560
1784281969.4717474,651703.1699999993,-28,38,1020,179,20560
1784281969.7179873,651703.1699999993,-28,38,1020,179,20560
1784281969.9307978,651705.9699999994,-28,38,1020,179,20560
1784281970.1541002,651706.9699999994,-28,38,1020,179,20560
1784281970.366823,651706.9699999994,-28,38,1020,179,20560
1784281970.5997388,651706.9699999994,-28,38,1020,179,20560
1784281970.8404603,651706.9699999994,-28,38,1020,179,20560
1784281971.041236,651706.9699999994,-28,38,1020,179,20560
1784281971.2537963,651706.9699999994,-28,38,1020,179,20560
1784281971.4752207,651706.9699999994,-28,38,1020,179,20560
1784281971.6870143,651706.9699999994,-28,38,1020,179,20560
1784281971.905816,651705.9699999994,-28,38,1020,179,20560
1784281972.1120226,651705.9699999994,-28,38,1020,179,20560
1784281972.334776,651705.9699999994,-28,38,1020,179,20560
1784281972.5356288,651705.9699999994,-28,38,1020,179,20560
1784281972.7455,651705.9699999994,-28,38,1020,179,20560
1784281972.9774547,651709.7699999994,-28,38,1020,179,20560
1784281973.2166495,651709.7699999994,-28,38,1020,179,20560
1784281973.432321,651709.7699999994,-28,38,1020,179,20560
1784281973.7359877,651705.9699999994,-28,38,1020,179,20560
1784281973.9837854,651701.1699999995,-28,38,1020,179,20560
1784281974.269348,651698.3699999994,-28,38,1020,179,20560
1784281974.4758365,651698.3699999994,-28,38,1020,179,20560
1784281974.6841369,651698.3699999994,-28,38,1020,179,20560
1784281974.9407492,651698.3699999994,-28,38,1020,179,20560
1784281975.1833432,651703.1699999993,-28,38,1020,179,20560
1784281975.4005723,651703.1699999993,-28,38,1020,179,20560
1784281975.601378,651703.1699999993,-28,38,1020,179,20560
1784281975.8021817,651703.1699999993,-28,38,1020,179,20560
1784281976.0368357,651703.1699999993,-28,38,1020,179,20560
1784281976.2847445,651703.1699999993,-28,38,1020,179,20560
1784281976.5015523,651708.7699999994,-13,38,1021,179,20575
1784281976.7074094,651709.5699999994,-13,8,1022,179,20605
1784281976.9693975,651709.5699999994,-13,8,1022,179,20605
1784281977.2492957,651709.5699999994,-13,8,1022,179,20605
1784281977.4617019,651709.5699999994,-13,8,1022,179,20605
1784281977.673612,651709.5699999994,-13,8,1022,179,20605
1784281977.920808,651708.2699999994,2,-22,1024,180,20650
1784281978.1482728,651708.2699999994,2,-22,1024,180,20650
1784281978.3636584,651708.2699999994,2,-22,1024,180,20650
1784281978.5645134,651708.2699999994,2,-22,1024,180,20650
1784281978.8060558,651708.2699999994,2,-22,1024,180,20650
1784281979.0069652,651708.2699999994,2,-22,1024,180,20650
1784281979.2224405,651708.2699999994,2,-22,1024,180,20650
1784281979.425131,651708.2699999994,2,-22,1024,180,20650
1784281979.6512063,651708.2699999994,2,-22,1024,180,20650
1784281979.8897574,651708.2699999994,2,-22,1024,180,20650
1784281981.5421867,651707.8699999994,2,8,1025,181,20680
1784281981.7430205,651709.0699999994,-13,8,1026,181,20695
1784281981.976273,651710.6699999995,-13,-17,1027,182,20720
1784281982.1770363,651705.5699999994,-13,-17,1027,182,20720
1784281982.3896098,651702.9699999994,-13,-17,1027,182,20720
1784281982.6035712,651702.9699999994,-13,-17,1027,182,20720
1784281982.804314,651702.9699999994,-13,-17,1027,182,20720
1784281983.0269146,651702.9699999994,-13,-17,1027,182,20720
1784281983.2365797,651705.5699999994,-13,-17,1027,182,20720
1784281983.437358,651705.5699999994,-13,-17,1027,182,20720
1784281983.646236,651710.6699999995,-13,-17,1027,182,20720
1784281983.855737,651710.6699999995,-13,-17,1027,182,20720
1784281984.0852494,651710.6699999995,-13,-17,1027,182,20720
1784281984.2993212,651710.6699999995,-13,-17,1027,182,20720
1784281984.500154,651710.6699999995,-13,-17,1027,182,20720
1784281984.700948,651710.6699999995,-13,-17,1027,182,20720
1784281984.9146526,651711.9699999994,-13,-17,1027,182,20720
1784281985.1732883,651706.8699999994,-13,-17,1027,182,20720
1784281985.3854065,651706.8699999994,-13,-17,1027,182,20720
1784281985.5863266,651706.8699999994,-13,-17,1027,182,20720
1784281985.7871516,651711.9699999994,-13,-17,1027,182,20720
1784281986.0191586,651711.9699999994,-13,-22,1028,183,20725
1784281986.4310293,651688.2699999994,-13,-50,1030,184,20753
1784281986.6469903,651686.9699999994,-13,-50,1030,184,20753
1784281986.8478131,651686.9699999994,-13,-50,1030,184,20753
1784281987.0617652,651686.9699999994,-13,-50,1030,184,20753
1784281987.287664,651711.9699999994,-13,-50,1030,184,20753
1784281987.4887223,651711.9699999994,-13,-50,1030,184,20753
1784281987.6895697,651711.9699999994,-13,-50,1030,184,20753
1784281987.8904107,651711.9699999994,-13,-50,1030,184,20753
1784281988.1977472,651720.9699999994,-13,-20,1031,184,20783
1784281988.3986073,651720.9699999994,-13,-20,1031,184,20783
1784281988.599519,651716.9699999994,-13,-20,1031,184,20783
1784281988.8005126,651716.9699999994,-13,-20,1031,184,20783
1784281989.001519,651716.9699999994,-13,-20,1031,184,20783
1784281989.826116,651719.2699999994,-13,-20,1033,184,20843
1784281990.0507483,651719.2699999994,-13,-37,1034,185,20860
1784281990.2775626,651719.2699999994,-13,-37,1034,185,20860
1784281990.478548,651719.2699999994,-13,-37,1034,185,20860
1784281990.7196674,651719.2699999994,-13,-37,1034,185,20860
1784281990.9270487,651719.2699999994,-13,-37,1034,185,20860
1784281991.1515265,651717.9699999994,-13,-37,1034,185,20860
1784281991.3759782,651717.9699999994,-13,-37,1034,185,20860
1784281991.5814757,651717.9699999994,-13,-37,1034,185,20860
1784281991.8308547,651717.9699999994,-13,-37,1034,185,20860
1784281992.0508058,651717.9699999994,-13,-37,1034,185,20860
1784281992.2631252,651717.9699999994,-13,-37,1034,185,20860
1784281992.4704876,651717.9699999994,-13,-37,1034,185,20860
1784281992.7191007,651717.9699999994,-13,-67,1035,186,20890
1784281992.9440446,651717.9699999994,-13,-67,1035,186,20890
1784281993.1884794,651738.0699999994,-13,-67,1035,186,20890
1784281993.40432,651738.0699999994,-13,-67,1035,186,20890
1784281993.6052635,651738.0699999994,-13,-67,1035,186,20890
1784281993.8275788,651771.5699999994,-13,-67,1035,186,20890
1784281994.0709054,651711.2699999994,-13,-67,1035,186,20890
1784281994.2999778,651711.2699999994,-13,-67,1035,186,20890
1784281994.5157561,651724.6699999993,-13,-67,1035,186,20890
