timestamp,pnl,cash,posA,posB
1782940667.1654387,5522.101999999981,5527.301999999981,-26,26
1782940672.1654963,5527.301999999981,5527.301999999981,-26,26
1782940677.1655796,5512.30199999998,5524.90199999998,-14,14
1782940682.1656253,5525.201999999981,5525.201999999981,0,0
1782940687.1657186,5525.501999999981,5525.501999999981,0,0
1782940692.165731,5525.501999999981,5525.501999999981,0,0
1782940697.1658118,5525.20199999998,5525.801999999981,-3,3
1782940702.165907,5521.201999999983,5536.001999999982,-37,37
1782940707.165953,5532.301999999982,5536.001999999982,-37,37
1782940712.166055,5539.701999999982,5536.001999999982,-37,37
1782940717.1660938,5524.901999999982,5536.001999999982,-37,37
1782940722.1660995,5522.3019999999815,5532.701999999982,-26,26
1782940727.1661084,5530.101999999983,5532.701999999982,-26,26
1782940732.1661172,5537.901999999982,5532.701999999982,-26,26
1782940737.1661465,5527.501999999982,5530.3019999999815,-14,14
1782940742.1661942,5528.901999999981,5529.201999999981,-3,3
1782940747.166233,5529.201999999981,5529.201999999981,-3,3
1782940752.1662388,5529.201999999981,5529.201999999981,0,0
1782940757.166319,5529.201999999981,5529.201999999981,0,0
1782940762.1663902,5529.50199999998,5530.101999999981,3,-3
1782940767.166443,5529.8019999999815,5530.101999999981,3,-3
1782940772.1664972,5548.101999999981,5548.101999999981,37,-37
1782940777.1665099,5536.40199999998,5537.801999999981,14,-14
1782940782.1665292,5535.10199999998,5534.50199999998,3,-3
1782940787.1666038,5534.20199999998,5534.20199999998,0,0
1782940792.1666846,5534.20199999998,5534.20199999998,0,0
1782940797.1666865,5534.20199999998,5534.50199999998,-3,3
1782940802.1667747,5534.201999999979,5534.50199999998,-3,3
1782940807.1668444,5536.00199999998,5534.50199999998,-3,3
1782940812.166941,5534.50199999998,5534.50199999998,0,0
1782940817.166976,5534.50199999998,5534.50199999998,0,0
1782940822.1670604,5534.20199999998,5547.20199999998,26,-26
1782940827.167076,5541.201999999981,5543.601999999981,3,-3
1782940832.1670823,5543.001999999981,5543.001999999981,0,0
